"Sex","Pclass","Survived","PassengerId","Name","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked"
"male","3","0","1","Braund, Mr. Owen Harris","22","1","0","A/5 21171","7.25","","S"
"female","1","1","2","Cumings, Mrs. John Bradley (Florence Briggs Thayer)","38","1","0","PC 17599","71.2833","C85","C"
"female","3","1","3","Heikkinen, Miss. Laina","26","0","0","STON/O2. 3101282","7.925","","S"
"female","1","1","4","Futrelle, Mrs. Jacques Heath (Lily May Peel)","35","1","0","113803","53.1","C123","S"
"male","3","0","5","Allen, Mr. William Henry","35","0","0","373450","8.05","","S"
"male","3","0","6","Moran, Mr. James","","0","0","330877","8.4583","","Q"
"male","1","0","7","McCarthy, Mr. Timothy J","54","0","0","17463","51.8625","E46","S"
"male","3","0","8","Palsson, Master. Gosta Leonard","2","3","1","349909","21.075","","S"
"female","3","1","9","Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)","27","0","2","347742","11.1333","","S"
"female","2","1","10","Nasser, Mrs. Nicholas (Adele Achem)","14","1","0","237736","30.0708","","C"
"female","3","1","11","Sandstrom, Miss. Marguerite Rut","4","1","1","PP 9549","16.7","G6","S"
"female","1","1","12","Bonnell, Miss. Elizabeth","58","0","0","113783","26.55","C103","S"
"male","3","0","13","Saundercock, Mr. William Henry","20","0","0","A/5. 2151","8.05","","S"
"male","3","0","14","Andersson, Mr. Anders Johan","39","1","5","347082","31.275","","S"
"female","3","0","15","Vestrom, Miss. Hulda Amanda Adolfina","14","0","0","350406","7.8542","","S"
"female","2","1","16","Hewlett, Mrs. (Mary D Kingcome) ","55","0","0","248706","16","","S"
"male","3","0","17","Rice, Master. Eugene","2","4","1","382652","29.125","","Q"
"male","2","1","18","Williams, Mr. Charles Eugene","","0","0","244373","13","","S"
"female","3","0","19","Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)","31","1","0","345763","18","","S"
"female","3","1","20","Masselmani, Mrs. Fatima","","0","0","2649","7.225","","C"
"male","2","0","21","Fynney, Mr. Joseph J","35","0","0","239865","26","","S"
"male","2","1","22","Beesley, Mr. Lawrence","34","0","0","248698","13","D56","S"
"female","3","1","23","McGowan, Miss. Anna ""Annie""","15","0","0","330923","8.0292","","Q"
"male","1","1","24","Sloper, Mr. William Thompson","28","0","0","113788","35.5","A6","S"
"female","3","0","25","Palsson, Miss. Torborg Danira","8","3","1","349909","21.075","","S"
"female","3","1","26","Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)","38","1","5","347077","31.3875","","S"
"male","3","0","27","Emir, Mr. Farred Chehab","","0","0","2631","7.225","","C"
